,,Students_per_Teachers,Students_per_Teachers,Students_per_Teachers
,,min,max,mean
Bierutów,Przedszkole,10.045454545454545,10.045454545454545,10.045454545454545
Bierutów,Szkoła podstawowa,4.095238095238095,10.360655737704919,6.532916991933386
Bierutów,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bieruń,Liceum ogólnokształcące,9.193548387096774,9.193548387096774,9.193548387096774
Bieruń,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Bieruń,Przedszkole,6.766666666666667,11.7,8.771106821106821
Bieruń,Szkoła podstawowa,9.752808988764045,10.101123595505618,9.926966292134832
Bieruń,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bierzwnik,Szkoła podstawowa,3.9047619047619047,6.588235294117647,5.246498599439776
Bierzwnik,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Biesiekierz,Przedszkole,7.416666666666667,12.0,9.26388888888889
Biesiekierz,Specjalny Ośrodek Szkolno-Wychowawczy,0.8857142857142857,0.8857142857142857,0.8857142857142857
Biesiekierz,Szkoła podstawowa,6.266666666666667,7.88,6.863703703703703
Bieżuń,Liceum ogólnokształcące,5.333333333333333,5.333333333333333,5.333333333333333
Bieżuń,Szkoła podstawowa,2.6,2.6,2.6
Bieżuń,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bircza,Szkoła podstawowa,2.066666666666667,7.75,4.235769230769231
Bircza,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Biskupice,Przedszkole,5.4,12.5,9.437142857142856
Biskupice,Szkoła podstawowa,5.928571428571429,9.535714285714286,7.770385880893127
Biskupiec,Gimnazjum,0.9375,4.809523809523809,2.8735119047619047
Biskupiec,Liceum ogólnokształcące,1.9473684210526316,1.9473684210526316,1.9473684210526316
Biskupiec,Niepubliczna placówka kształcenia ustawicznego i praktycznego,0.0,0.0,0.0
Biskupiec,Ośrodek Rewalidacyjno-Wychowawczy umożliwiający upośledzonym umysłowo realizację obowiązku szkolnego i nauki,2.903225806451613,2.903225806451613,2.903225806451613
Biskupiec,Przedszkole,5.0,15.272727272727273,9.901515151515152
Biskupiec,Punkt przedszkolny,6.666666666666667,10.333333333333334,8.5
Biskupiec,Szkoła podstawowa,0.46153846153846156,9.583333333333334,5.345153491989191
